UNK	GMP1	GMP2	GMP3	MKP	pDC	Bcell	CD4Tcell	CD8Tcell	NKcell	CLP	Ery	LMPP	CMP	GMP	HSC	MEP	Mono	MPP
MIR1302-10	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.7	0	0	0	0	6	2	36	38	17	18	5	6	14	22	19	22	11	29	14
RP11-34P13.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.1	23	11	20	10	176	68	297	91	56	51	14	8	38	48	85	63	54	309	148
RP11-34P13.14	2	2	0	0	4	7	10	28	11	16	11	5	16	4	12	16	6	31	10
RP11-34P13.9	0	0	0	0	4	0	3	4	2	0	0	2	0	0	2	5	1	1	5
AP006222.2	14	3	0	4	15	8	68	103	80	49	29	37	27	59	84	73	56	32	88
RP4-669L17.10	54	31	27	33	103	40	291	233	90	103	76	33	87	88	141	138	110	339	158
OR4F29	6	6	1	14	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
RP4-669L17.2	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0
RP5-857K21.15	0	0	0	1	0	0	13	10	2	5	1	0	7	4	8	4	2	6	4
RP5-857K21.1	7	0	2	9	0	0	2	3	1	3	0	1	1	2	10	2	2	3	2
RP5-857K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.3	2	4	1	3	1	0	0	1	0	0	0	0	1	0	2	2	1	1	3
RP5-857K21.4	1	1	0	13	0	5	10	4	2	4	11	1	4	10	6	6	4	11	5
RP5-857K21.5	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	1	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RP11-206L10.3	12	6	4	5	21	2	71	76	65	65	64	67	32	44	30	44	33	35	35
RP11-206L10.5	0	0	0	0	5	0	15	18	15	9	23	11	15	5	9	18	3	16	13
RP11-206L10.4	1	0	0	0	0	0	1	8	3	8	2	3	5	2	1	2	0	0	0
RP11-206L10.2	39	11	12	4	85	40	139	90	86	48	64	45	67	86	131	70	100	69	130
RP11-206L10.9	41	33	7	19	77	202	361	500	445	640	216	163	163	279	493	273	253	371	324
AL669831.1	0	0	0	0	0	5	6	11	7	21	58	6	4	9	7	7	2	5	4
FAM87B	28	13	10	14	6	17	498	426	379	480	213	182	190	480	434	453	359	608	365
